"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"South_Dakota" "Sum" 16 7 9 0.4375 0.3765 -4 68.7 103.9 108.6 0.956721915285451 52.9 51.5 1.02718446601942 16.2 14.3 1.13286713286713 19.8 22.2 36.5 30.5 1.19672131147541 50 49.4 39.2 37.2 2009 12 385 0.642 5 0 0 NA
"South_Dakota_St." "Sum" 18 11 7 0.611111111111111 0.6141 -3.5 68 107.2 102.9 1.04178814382896 54.1 47.9 1.1294363256785 19.2 16.4 1.17073170731707 30.7 28.6 31.2 26.2 1.19083969465649 56.2 47.7 33.9 32.3 2009 12 388 0.644 5 0 0 NA
"South_Florida" "Amer" 16 8 8 0.5 0.62 -4.5 66.8 98.1 94.1 1.04250797024442 48.2 52.9 0.911153119092628 22.5 25.1 0.896414342629482 33.4 22.7 35.7 32.2 1.10869565217391 47.1 52.3 33.2 35.9 1974 47 1377 0.458 3 0 0 NA
"Southeast_Missouri_St." "OVC" 15 4 11 0.266666666666667 0.1637 -7.7 68.5 92.4 106.5 0.867605633802817 44.9 54.8 0.819343065693431 20.6 20.6 1 24.7 29.9 33.1 35.5 0.932394366197183 44.6 55.1 30.4 36.2 1992 29 842 0.417 1 0 0 NA
"Southeastern_Louisiana" "Slnd" 16 3 13 0.1875 0.2187 -7.3 72.8 94.9 106 0.895283018867925 46.8 53.2 0.879699248120301 21.6 20.7 1.04347826086957 26.7 35.9 24.4 47.3 0.515856236786469 48.7 56.1 28.8 32.4 1981 39 1112 0.436 1 0 0 NA
"Southern" "SWAC" 15 3 12 0.2 0.1816 -7.6 66.4 94.9 108.2 0.877079482439926 45.1 53.5 0.842990654205607 21.6 17.1 1.26315789473684 33.1 31.9 22.2 49.6 0.44758064516129 44.2 53.1 31.3 36.1 1907 114 2846 0.573 18 2 0 NA
"Southern_Illinois" "MVC" 17 12 5 0.705882352941177 0.5236 -5.2 63.8 97.5 96.7 1.00827300930714 51.6 47.6 1.08403361344538 21.2 21.6 0.981481481481481 22 31.3 34.3 29.9 1.14715719063545 51.7 48.7 34.3 30.4 1968 53 1563 0.555 10 0 0 NA
"Southern_Miss" "CUSA" 14 6 8 0.428571428571429 0.2872 -6.4 67.9 94.1 101.9 0.923454367026496 45.9 55.2 0.831521739130435 22.5 19.4 1.15979381443299 28.4 28.6 17.7 38.1 0.464566929133858 48 55.7 27.1 36.4 1967 49 1426 0.522 3 0 0 NA
"Southern_Utah" "BSky" 16 7 9 0.4375 0.4985 -2.2 69.9 93.4 93.5 0.998930481283423 46.5 44.9 1.03563474387528 21.7 17.8 1.21910112359551 30.9 23.4 34.3 33.3 1.03003003003003 49.5 44.3 26.9 30.7 1989 32 918 0.424 1 0 0 NA
"St._Bonaventure" "A10" 14 9 5 0.642857142857143 0.5961 -2.7 65.6 101.8 98.4 1.03455284552846 48.7 46.9 1.03837953091684 18.5 20.2 0.915841584158416 31.4 29.2 26.5 39 0.67948717948718 47.9 46.3 33.5 31.8 1920 100 2413 0.568 7 1 0 NA
