"YEAR" "TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"2015" "Mercer" "SC" 33 17 16 0.515151515151515 0.5223 -9.5 61.1 103.3 102.5 1.00780487804878 49.3 48.9 1.0081799591002 17.6 19.2 0.916666666666667 33.3 32.8 40.2 31.9 1.26018808777429 48.3 46.3 34.2 35.2 1974 47 1369 0.476 3 0 0 "no_postseason" "no"
"2015" "Miami_FL" "ACC" 38 25 13 0.657894736842105 0.8446 0.7 62.9 111.2 96 1.15833333333333 49.9 47.6 1.04831932773109 15.9 17.3 0.91907514450867 29.5 29.3 35.5 28.5 1.24561403508772 47.4 47.1 35.8 32.4 1949 57 1624 0.575 10 0 0 "no_postseason" "no"
"2015" "Miami_OH" "MAC" 31 12 19 0.387096774193548 0.3397 -12.2 65.4 99.1 105 0.943809523809524 49.4 53.1 0.930320150659134 19.4 20.6 0.941747572815534 25.9 29.6 38.7 42.5 0.910588235294118 48.3 53.7 34.4 34.9 1906 115 2597 0.537 17 0 0 "no_postseason" "no"
"2015" "Michigan" "B10" 31 15 16 0.483870967741935 0.8226 -2.4 60.2 110.9 97.1 1.14212152420185 49.4 50.9 0.970530451866405 15.6 19.4 0.804123711340206 25.5 31.2 26.6 26.7 0.99625468164794 47 50.8 35.3 34 1918 103 2668 0.609 29 8 1 "no_postseason" "no"
"2015" "Michigan_St." "B10" 39 27 12 0.692307692307692 0.9327 3 63.9 116.3 92.6 1.25593952483801 53.2 44.9 1.18485523385301 17.5 16.5 1.06060606060606 33.5 27 32.7 39 0.838461538461538 50.8 43.8 38.5 31.5 1899 121 2823 0.612 33 10 2 "F4" "yes"
"2015" "Middle_Tennessee" "CUSA" 35 18 17 0.514285714285714 0.5048 -8.8 61.4 100.7 100.5 1.00199004975124 47.9 49.9 0.959919839679359 20.3 20.3 1 31.6 26.1 36.8 42.2 0.872037914691943 44.2 48 36.3 35.7 1959 62 1752 0.555 9 0 0 "no_postseason" "no"
"2015" "Milwaukee" "Horz" 28 12 16 0.428571428571429 0.4226 -9 65 100.8 103.6 0.972972972972973 49 51.2 0.95703125 20 16.5 1.21212121212121 26.9 29.5 36.2 31.6 1.14556962025316 48.6 48.6 33.2 38.6 1974 37 1078 0.489 4 0 0 "no_postseason" "no"
"2015" "Minnesota" "B10" 32 17 15 0.53125 0.8176 -2.4 68.1 111.2 97.6 1.13934426229508 52.1 50.8 1.0255905511811 17.7 24.2 0.731404958677686 30 33.4 32.9 34.5 0.953623188405797 50.1 48.3 37.2 36.8 1896 125 2880 0.575 14 1 0 "no_postseason" "no"
"2015" "Mississippi" "SEC" 34 21 13 0.617647058823529 0.8037 -0.5 66.6 112.2 99.2 1.13104838709677 47.8 47.6 1.00420168067227 16.5 18.7 0.882352941176471 34.8 31.4 36.1 41.2 0.87621359223301 46.8 43.6 33.2 35.8 1909 110 2642 0.501 9 0 0 "R64" "yes"
"2015" "Mississippi_St." "SEC" 31 12 19 0.387096774193548 0.5751 -9 64.1 99.6 97 1.02680412371134 47.5 48 0.989583333333333 23.3 18.9 1.23280423280423 32.3 31.1 46.4 36.5 1.27123287671233 47.9 47 31.1 33.2 1909 108 2635 0.544 11 1 0 "no_postseason" "no"
"2015" "Mississippi_Valley_St." "SWAC" 32 6 26 0.1875 0.0439 -20.8 71.1 89 116.3 0.765262252794497 42.7 54.5 0.78348623853211 20.9 20.8 1.00480769230769 30.1 39.7 33 36.7 0.899182561307902 41.7 55.1 30.3 35.5 1980 41 1192 0.399 5 0 0 "no_postseason" "no"
"2015" "Missouri" "SEC" 31 8 23 0.258064516129032 0.4366 -9.9 62.6 99.3 101.5 0.978325123152709 45.8 49.3 0.929006085192698 20.2 17.2 1.17441860465116 29.4 33.3 32.5 43.9 0.740318906605923 44.2 48 32.5 34.4 1907 114 2818 0.585 27 0 0 "no_postseason" "no"
"2015" "Missouri_St." "MVC" 29 9 20 0.310344827586207 0.2884 -12.2 61.9 96.5 104.4 0.924329501915709 45.4 49.6 0.915322580645161 19.5 16.4 1.1890243902439 29.7 30 31.7 36.8 0.861413043478261 44.5 46.6 31.4 36.9 1983 38 1178 0.59 6 0 0 "no_postseason" "no"
"2015" "Monmouth" "MAAC" 33 18 15 0.545454545454545 0.4312 -9 63.9 98 100.4 0.97609561752988 47.9 47.2 1.01483050847458 19.9 21.4 0.929906542056075 30 33.6 41 37.2 1.10215053763441 46.7 44.3 33.8 34.2 1984 37 1090 0.475 4 0 0 "no_postseason" "no"
"2015" "Montana" "BSky" 31 18 13 0.580645161290323 0.5063 -7.1 62.5 104.5 104.2 1.00287907869482 53.7 51.3 1.04678362573099 18 19.9 0.904522613065327 27.6 28.7 33.3 43.6 0.763761467889908 52.9 49.4 36.6 36.1 1912 105 2650 0.545 12 0 0 "no_postseason" "no"
"2015" "Montana_St." "BSky" 29 6 23 0.206896551724138 0.1838 -17.9 66.2 94.7 107.8 0.87847866419295 46.9 53 0.884905660377359 20.6 17 1.21176470588235 29.1 28.2 28.7 44.8 0.640625 42.4 50.4 35.6 39.4 1902 109 2632 0.545 2 0 0 "no_postseason" "no"
"2015" "Morehead_St." "OVC" 32 15 17 0.46875 0.5408 -10.6 65.7 102.5 101 1.01485148514851 49.3 49.1 1.0040733197556 20.1 21.2 0.94811320754717 34.7 28.2 34.7 55.2 0.628623188405797 48.4 48.4 34 33.7 1956 65 1786 0.498 7 0 0 "no_postseason" "no"
