"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Purdue" "B10" 37 30 7 0.810810810810811 0.9484 7.6 68.7 123.2 95.7 1.28735632183908 57.7 47 1.22765957446809 15.8 17.7 0.892655367231639 28 28 35.6 24.2 1.47107438016529 54.1 45.5 42 33.2 1897 122 2855 0.641 31 2 0 "S16" "yes"
"Quinnipiac" "MAAC" 33 12 21 0.363636363636364 0.2485 -16.3 67.7 100.8 111 0.908108108108108 50.3 53.6 0.938432835820895 19.4 16.3 1.19018404907975 27.8 28.5 37 30.1 1.22923588039867 49.8 50.2 33.9 39.6 1999 22 643 0.477 0 0 0 "no_postseason" "no"
"Radford" "BSth" 34 23 11 0.676470588235294 0.4559 -6.5 64.2 101.3 102.8 0.985408560311284 49.3 50.1 0.984031936127744 18.7 20.2 0.925742574257426 32 28 31.2 31.7 0.984227129337539 47.1 48.9 35 34.6 1985 36 1063 0.517 3 0 0 "R64" "yes"
"Rhode_Island" "A10" 34 26 8 0.764705882352941 0.7988 1.6 69.6 109.7 97.3 1.12744090441932 51.1 50.4 1.01388888888889 15.3 22.6 0.676991150442478 31 28.2 30.1 40.6 0.741379310344828 50.4 50.6 35.2 33.2 1904 114 2662 0.572 10 0 0 "R32" "yes"
"Rice" "CUSA" 29 7 22 0.241379310344828 0.2585 -17.4 68.9 98.9 108.4 0.912361623616236 48 52.6 0.91254752851711 20.7 16.5 1.25454545454545 27.6 28.4 35.2 28.5 1.23508771929825 48 51.7 32.1 36 1915 106 2568 0.437 4 0 0 "no_postseason" "no"
"Richmond" "A10" 32 12 20 0.375 0.4755 -11.4 69.1 107.1 108 0.991666666666667 52.1 55.4 0.94043321299639 16.9 19 0.889473684210526 23.4 28.3 29.7 31.4 0.945859872611465 53.2 55.3 33.4 37.2 1913 108 2598 0.533 9 0 0 "no_postseason" "no"
"Rider" "MAAC" 32 22 10 0.6875 0.527 -3.4 74.9 107.8 106.8 1.00936329588015 52.6 52.8 0.996212121212121 17.6 20.5 0.858536585365854 33.5 28.6 42.1 36.8 1.14402173913043 52 50.5 35.8 37.1 1929 57 1600 0.528 3 0 0 "no_postseason" "no"
"Robert_Morris" "NEC" 33 16 17 0.484848484848485 0.2596 -11.8 70.6 93.2 102.1 0.9128305582762 47.4 50.5 0.938613861386139 20.9 22.3 0.937219730941704 31.2 31.2 34.3 36.2 0.947513812154696 45.9 51.1 33.2 32.8 1977 44 1298 0.488 8 0 0 "no_postseason" "no"
"Rutgers" "B10" 33 15 18 0.454545454545455 0.589 -6.8 67.2 98.1 95 1.03263157894737 43.6 48 0.908333333333333 17.2 20.5 0.839024390243902 33.3 29.1 30.5 30.8 0.99025974025974 43.4 47.6 29.6 32.5 1914 106 2465 0.507 6 1 0 "no_postseason" "no"
"Sacramento_St." "BSky" 30 7 23 0.233333333333333 0.2122 -18.6 66.9 98.6 110.5 0.892307692307692 49 52.7 0.929791271347248 17.9 17.5 1.02285714285714 24.1 29.5 27.8 33.4 0.832335329341317 47.7 50.9 34.6 37.2 1992 29 814 0.311 0 0 0 "no_postseason" "no"
